DIST COUNTY AREA TOTAL DEM REP GRN LIB OTHER
DIST COUNTY AREA TOTAL Dem Rep Grn Lib Other
NA Bowie 2B 0 156 68 2 2 0
NA Bowie 2C 0 528 76 2 3 0
NA Bowie 2D 0 14 12 0 1 0
NA Bowie 30 0 197 799 2 9 2
NA Bowie 3A 0 367 601 2 3 5
NA Bowie 3B 0 278 221 5 4 2
NA Bowie 4A 0 312 227 1 2 3
NA Bowie 4B 0 433 697 1 13 0
NA Bowie 4C 0 193 141 1 1 2
NA Bowie 4D 0 11 21 0 0 0
NA Bowie 4E 0 0 0 0 0 0
NA Bowie 5A 0 55 87 1 1 1
NA Bowie 5B 0 1 0 0 0 0
NA Bowie 5C 0 775 492 5 27 7
NA Bowie 6A 0 469 1116 5 15 4
NA Bowie 6B 0 408 218 5 19 3
NA Bowie 7 0 902 467 9 29 4
NA Bowie 8A 0 298 191 1 2 2
NA Bowie 8B 0 546 534 7 15 2
NA Bowie 8C 0 161 737 0 7 1
NA Bowie 9 0 655 1275 4 22 5
NA Brazoria "1 - ANGISD" 0 790 1709 7 41 4
NA Brazoria "1 - L-ALL" 0 0 1 0 0 0
NA Brazoria "1 - L-F" 0 2 0 0 0 0
NA Brazoria "1 - L-S" 0 6 8 0 0 0
NA Brazoria "1 - L-S-APP" 0 0 2 0 0 0
NA Brazoria 10 0 98 582 1 7 3
NA Brazoria "10 - L-ALL" 0 0 0 0 0 0
NA Brazoria "10 - L-F" 0 0 0 0 0 0
NA Brazoria "10 - L-S" 0 0 0 0 0 0
NA Brazoria "10 - L-S-APP" 0 0 3 0 0 0
NA Brazoria "11 - AISD" 0 148 223 0 4 2
NA Brazoria "11 - AISD-4" 0 9 21 0 0 0
NA Brazoria "11 - AISD-5" 0 296 595 1 9 3
NA Brazoria "11 - AISD-IC-4" 0 2 7 0 0 0
NA Brazoria "11 - AISD-IC-5" 0 747 0 5 15 2
NA Brazoria "11 - AISD-MAN" 0 53 137 0 0 0
NA Brazoria "11 - AISD-MAN-4" 0 5 20 0 1 0
NA Brazoria "11 - AISD-MAN-5" 0 34 42 0 1 0
NA Brazoria "11 - L-ALL" 0 3 5 0 0 0
NA Brazoria "11 - L-F" 0 1 0 0 0 0
NA Brazoria "11 - L-S" 0 3 4 0 0 0
NA Brazoria "11 - L-S-APP" 0 6 3 0 0 0
NA Brazoria "12 - L-ALL" 0 1 3 0 1 0
NA Brazoria "12 - L-F" 0 1 1 0 0 0
NA Brazoria "12 - L-S" 0 1 1 0 0 0
NA Brazoria "12 - L-S-APP" 0 2 0 0 1 0
NA Brazoria "12 - PISD-PEAR" 0 979 1512 7 30 4
NA Brazoria "13 - L-ALL" 0 3 6 0 0 0
NA Brazoria "13 - L-F" 0 1 0 0 0 0
NA Brazoria "13 - L-S" 0 2 0 0 0 0
NA Brazoria "13 - L-S-APP" 0 1 2 0 0 0
NA Brazoria "13 - PISD-PEAR" 0 959 1369 9 43 11
NA Brazoria "13 - PISD-PL-18" 0 376 443 5 10 5
NA Brazoria "14 - L-ALL" 0 0 0 0 0 0
NA Brazoria "14 - L-F" 0 1 1 0 0 0
NA Brazoria "14 - L-S" 0 1 6 0 0 0
NA Brazoria "14 - L-S-APP" 0 1 3 0 0 0
NA Brazoria "14 - SISD" 0 268 1118 4 14 3
NA Brazoria "14 - SISD-WB1" 0 495 1515 3 20 3
NA Brazoria 15 0 48 513 0 9 0
NA Brazoria "15 - ANGISD" 0 5 26 0 2 0
NA Brazoria "15 - ANGISD-5" 0 3 9 0 0 0
NA Brazoria "15 - DAN" 0 106 692 1 7 1
NA Brazoria "15 - DD5" 0 42 329 1 8 0
NA Brazoria "15 - L-ALL" 0 0 6 0 0 0
NA Brazoria "15 - L-F" 0 0 0 0 0 0
NA Brazoria "15 - L-S" 0 0 3 0 0 0
NA Brazoria "15 - L-S-APP" 0 0 0 0 0 0
NA Brazoria "16 - AISD-ALVIN" 0 757 1827 14 42 3
NA Brazoria "16 - ALVISD" 0 84 295 3 4 2
NA Brazoria "16 - L-ALL" 0 4 3 0 0 0
NA Brazoria "16 - L-F" 0 1 0 0 0 0
NA Brazoria "16 - L-S" 0 2 4 0 0 0
NA Brazoria "16 - L-S-APP" 0 0 3 0 0 0
NA Brazoria 17 0 7 19 0 1 0
NA Brazoria "17 - FP-A" 0 293 236 3 10 0
NA Brazoria "17 - FP-B" 0 390 442 5 11 1
NA Brazoria "17 - L-ALL" 0 0 0 0 0 0
NA Brazoria "17 - L-F" 0 2 0 0 0 0
NA Brazoria "17 - L-S" 0 5 4 0 0 0
NA Brazoria "17 - L-S-APP" 0 0 0 0 0 0
NA Brazoria "18 - ALISD-PEAR" 0 32 20 0 0 0
NA Brazoria "18 - L-ALL" 0 3 1 0 0 0
NA Brazoria "18 - L-F" 0 1 2 0 0 0
NA Brazoria "18 - L-S" 0 0 3 0 0 0
NA Brazoria "18 - L-S-APP" 0 2 5 0 0 0
NA Brazoria "18 - PISD-PEAR" 0 1008 2045 5 41 8
NA Brazoria "18 - PISD-PL-18" 0 126 297 0 4 3
NA Brazoria 19 0 0 1 0 0 0
NA Brazoria "19 - CLUTE-A" 0 275 292 1 4 1
NA Brazoria "19 - CLUTE-B" 0 164 158 1 6 0
NA Brazoria "19 - CLUTE-E" 0 85 175 0 4 0
NA Brazoria "19 - L-ALL" 0 0 1 0 0 0
NA Brazoria "19 - L-F" 0 1 0 0 0 0
NA Brazoria "19 - L-S" 0 1 2 0 0 0
NA Brazoria "19 - L-S-APP" 0 0 1 0 0 0
NA Brazoria 2 0 226 982 2 15 2
NA Brazoria "2 - L-ALL" 0 1 3 0 0 0
NA Brazoria "2 - L-F" 0 0 1 0 0 0
NA Brazoria "2 - L-S" 0 1 0 0 0 0
NA Brazoria "2 - L-S-APP" 0 0 1 0 0 0
NA Brazoria "2 - WC" 0 438 1016 9 17 3
NA Brazoria 20 0 45 153 0 2 0
NA Brazoria "20 - FP-C" 0 0 7 0 1 0
NA Brazoria "20 - JC" 0 160 683 1 8 1
NA Brazoria "20 - L-ALL" 0 0 2 0 0 0
NA Brazoria "20 - L-F" 0 2 0 0 0 0
NA Brazoria "20 - L-S" 0 1 3 0 0 0
NA Brazoria "20 - L-S-APP" 0 0 2 0 0 0
NA Brazoria "21 - ALISD-4" 0 123 124 1 2 1
NA Brazoria "21 - ALISD-5" 0 255 176 2 5 1
NA Brazoria "21 - ALISD-IC-4" 0 39 27 0 0 0
NA Brazoria "21 - ALISD-IC-5" 0 1270 609 7 26 7
NA Brazoria "21 - ALISD-PEAR" 0 2 3 0 0 0
NA Brazoria "21 - ANISD" 0 291 461 2 10 0
NA Brazoria "21 - ANISD-5" 0 177 217 1 4 0
NA Brazoria "21 - ANISD-SP" 0 16 36 0 0 0
NA Brazoria "21 - ANISD-SP-5" 0 12 12 0 0 0
NA Brazoria "21 - L-ALL" 0 0 3 0 0 0
NA Brazoria "21 - L-F" 0 2 0 0 0 0
NA Brazoria "21 - L-S" 0 4 3 0 0 0
NA Brazoria "21 - L-S-APP" 0 26 8 0 0 0
NA Brazoria "22 - L-ALL" 0 1 1 0 0 0
NA Brazoria "22 - L-F" 0 5 0 0 0 0
NA Brazoria "22 - L-S" 0 1 2 0 0 0
NA Brazoria "22 - L-S-APP" 0 1 3 0 0 0
NA Brazoria "22 - LJ" 0 734 2227 9 61 11
NA Brazoria "23 - L-ALL" 0 0 2 0 0 0
NA Brazoria "23 - L-F" 0 2 1 0 0 0
NA Brazoria "23 - L-S" 0 1 8 0 0 0
NA Brazoria "23 - L-S-APP" 0 0 5 0 0 0
NA Brazoria "23 - LJ" 0 797 2068 9 53 7
NA Brazoria 24 0 87 336 1 4 4
NA Brazoria "24 - ANGISD" 0 230 806 2 6 1
NA Brazoria "24 - L-ALL" 0 0 2 0 0 0
NA Brazoria "24 - L-F" 0 0 0 0 0 0
NA Brazoria "24 - L-S" 0 3 10 0 0 0
NA Brazoria "24 - L-S-APP" 0 0 0 0 0 0
NA Brazoria "24 - RW" 0 513 1205 5 23 5
NA Brazoria "25 - AISD-ALVIN" 0 108 294 1 3 1
NA Brazoria "25 - ALVISD" 0 220 757 3 17 1
NA Brazoria "25 - L-ALL" 0 0 6 0 0 0
NA Brazoria "25 - L-F" 0 0 0 0 0 0
NA Brazoria "25 - L-S" 0 0 0 0 0 0
NA Brazoria "25 - L-S-APP" 0 0 1 0 0 0
NA Brazoria "26 - L-ALL" 0 1 1 0 0 0
NA Brazoria "26 - L-F" 0 2 1 0 0 0
NA Brazoria "26 - L-S" 0 2 2 0 0 0
NA Brazoria "26 - L-S-APP" 0 5 4 0 0 0
NA Brazoria "26 - PISD" 0 526 284 2 1 3
NA Brazoria "26 - PISD-BV" 0 259 487 2 9 1
NA Brazoria "26 - PISD-PEAR" 0 550 770 4 16 3
NA Brazoria "27 - L-ALL" 0 0 0 0 0 0
NA Brazoria "27 - L-F" 0 3 1 0 0 0
NA Brazoria "27 - L-S" 0 2 1 0 0 0
NA Brazoria "27 - L-S-APP" 0 1 0 0 0 0
NA Brazoria "27 - PISD-PEAR" 0 865 918 5 11 2
NA Brazoria "28 - L-ALL" 0 0 4 0 1 0
NA Brazoria "28 - L-F" 0 2 0 0 0 0
NA Brazoria "28 - L-S" 0 2 2 0 0 0
NA Brazoria "28 - L-S-APP" 0 1 1 0 0 0
NA Brazoria "28 - PISD-PEAR" 0 1291 1808 5 49 6
NA Brazoria "29 - ALVISD" 0 0 0 0 0 0
NA Brazoria "29 - L-ALL" 0 1 1 0 0 0
NA Brazoria "29 - L-F" 0 2 0 0 0 0
NA Brazoria "29 - L-S" 0 1 1 0 0 0
NA Brazoria "29 - L-S-APP" 0 3 1 0 0 0
NA Brazoria "29 - PISD-PEAR" 0 1685 1053 6 22 6
NA Brazoria "3 - AISD-ALVIN" 0 775 2356 9 37 1
NA Brazoria "3 - ALVISD" 0 1 2 0 0 0
NA Brazoria "3 - L-ALL" 0 3 4 0 0 0
NA Brazoria "3 - L-F" 0 0 0 0 0 0
NA Brazoria "3 - L-S" 0 2 4 0 0 0
NA Brazoria "3 - L-S-APP" 0 2 4 0 0 0
NA Brazoria 30 0 147 886 4 11 3
NA Brazoria "30 - ANGISD" 0 0 0 0 0 0
NA Brazoria "30 - ANGISD-LJ" 0 0 1 0 0 0
NA Brazoria "30 - L-ALL" 0 0 1 0 0 0
NA Brazoria "30 - L-F" 0 5 0 0 0 0
NA Brazoria "30 - L-S" 0 1 3 0 0 0
NA Brazoria "30 - L-S-APP" 0 0 0 0 0 0
NA Brazoria "30 - LJ" 0 318 842 2 17 1
NA Brazoria 31 0 9 96 0 2 0
NA Brazoria "31 - ANGISD" 0 133 603 4 2 1
NA Brazoria "31 - L-ALL" 0 0 1 0 0 0
NA Brazoria "31 - L-F" 0 0 0 0 1 0
NA Brazoria "31 - L-S" 0 0 1 0 0 0
NA Brazoria "31 - L-S-APP" 0 1 1 0 0 0
NA Brazoria 32 0 354 1550 1 13 2
NA Brazoria "32 - L-ALL" 0 0 2 0 0 0
NA Brazoria "32 - L-F" 0 0 0 0 0 0
NA Brazoria "32 - L-S" 0 0 5 0 0 0
NA Brazoria "32 - L-S-APP" 0 0 2 0 0 0
NA Brazoria 33 0 30 82 1 0 0
NA Brazoria "33 - L-ALL" 0 0 2 0 0 0
NA Brazoria "33 - L-F" 0 2 1 0 0 0
NA Brazoria "33 - L-S" 0 1 2 0 0 0
NA Brazoria "33 - L-S-APP" 0 0 1 0 0 0
NA Brazoria "33 - SISD" 0 13 54 0 0 0
NA Brazoria "33 - SISD-WB1" 0 360 882 0 15 1
NA Brazoria "34 - AISD-ALVIN" 0 91 331 0 12 1
NA Brazoria "34 - ALVISD" 0 601 1892 10 20 3
NA Brazoria "34 - ALVISD-4" 0 84 97 0 4 0
NA Brazoria "34 - L-ALL" 0 1 9 0 0 0
NA Brazoria "34 - L-F" 0 4 0 0 0 0
NA Brazoria "34 - L-S" 0 1 3 0 0 0
NA Brazoria "34 - L-S-APP" 0 0 4 0 0 0
NA Brazoria "35 - ALVISD" 0 210 988 5 10 2
NA Brazoria "35 - L-ALL" 0 0 2 0 0 0
NA Brazoria "35 - L-F" 0 1 0 0 0 0
NA Brazoria "35 - L-S" 0 1 0 0 0 0
NA Brazoria "35 - L-S-APP" 0 0 1 0 0 0
NA Brazoria "36 - ALISD" 0 217 373 0 6 3
NA Brazoria "36 - ALISD-PEAR" 0 4 17 0 0 0
NA Brazoria "36 - L-ALL" 0 1 1 0 0 0
NA Brazoria "36 - L-F" 0 1 1 0 0 0
NA Brazoria "36 - L-S" 0 1 0 0 0 0
NA Brazoria "36 - L-S-APP" 0 1 1 0 0 0
NA Brazoria "36 - PISD" 0 92 213 2 2 1
NA Brazoria "36 - PISD-PEAR" 0 80 104 0 0 0
NA Brazoria "37 - ALISD-PEAR" 0 22 35 0 1 0
NA Brazoria "37 - L-ALL" 0 1 6 0 0 0
NA Brazoria "37 - L-F" 0 1 0 0 0 0
NA Brazoria "37 - L-S" 0 1 3 0 0 0
NA Brazoria "37 - L-S-APP" 0 1 2 0 0 0
NA Brazoria "37 - PISD-PEAR" 0 990 1496 4 33 9
NA Brazoria 38 0 27 79 0 3 0
NA Brazoria "38 - ALVISD" 0 0 2 0 0 0
NA Brazoria "38 - ANGISD" 0 10 37 0 0 0
NA Brazoria "38 - L-ALL" 0 0 1 0 0 0
NA Brazoria "38 - L-F" 0 0 0 0 0 0
NA Brazoria "38 - L-S" 0 0 1 0 0 0
NA Brazoria "38 - L-S-APP" 0 0 2 0 0 0
NA Brazoria "38 - SURF" 0 127 357 0 5 1
NA Brazoria "39 - AISD-ALVIN" 0 826 1782 9 40 3
NA Brazoria "39 - ALVISD" 0 33 66 0 0 0
NA Brazoria "39 - ALVISD-4" 0 50 132 0 2 0
NA Brazoria "39 - L-ALL" 0 0 7 0 0 0
NA Brazoria "39 - L-F" 0 1 1 0 0 0
NA Brazoria "39 - L-S" 0 0 4 0 0 0
NA Brazoria "39 - L-S-APP" 0 0 1 0 0 0
NA Brazoria 4 0 508 1632 4 21 1
NA Brazoria "4 - L-ALL" 0 0 0 0 0 0
NA Brazoria "4 - L-F" 0 1 0 0 0 0
NA Brazoria "4 - L-S" 0 1 3 0 0 0
NA Brazoria "4 - L-S-APP" 0 0 1 0 0 0
NA Brazoria "40 - AISD" 0 342 820 5 17 2
NA Brazoria "40 - AISD-4" 0 14 27 0 0 0
NA Brazoria "40 - AISD-MAN" 0 805 1629 9 26 4
NA Brazoria "40 - AISD-MAN-4" 0 18 8 0 0 0
NA Brazoria "40 - AISD-MAN-5" 0 12 54 0 1 0
NA Brazoria "40 - L-ALL" 0 1 3 0 0 0
NA Brazoria "40 - L-F" 0 0 0 0 0 0
NA Brazoria "40 - L-S" 0 1 4 0 0 0
NA Brazoria "40 - L-S-APP" 0 5 8 0 0 0
NA Brazoria "41 - L-ALL" 0 2 1 0 0 0
NA Brazoria "41 - L-F" 0 0 3 0 0 0
NA Brazoria "41 - L-S" 0 2 0 0 0 0
NA Brazoria "41 - L-S-APP" 0 2 1 0 0 0
NA Brazoria "41 - PISD-PEAR" 0 978 647 3 24 7
NA Brazoria "42 - ANGISD" 0 156 305 1 7 0
NA Brazoria "42 - L-ALL" 0 0 0 0 0 0
NA Brazoria "42 - L-F" 0 0 0 0 0 0
NA Brazoria "42 - L-S" 0 1 0 0 0 0
NA Brazoria "42 - L-S-APP" 0 1 0 0 0 0
NA Brazoria "43 - L-ALL" 0 0 1 0 0 0
NA Brazoria "43 - L-F" 0 1 2 0 0 0
NA Brazoria "43 - L-S" 0 6 8 0 1 0
NA Brazoria "43 - L-S-APP" 0 0 3 0 0 0
NA Brazoria "43 - LJ" 0 930 2003 2 43 4
NA Brazoria "44 - L-ALL" 0 0 4 0 0 0
NA Brazoria "44 - L-F" 0 5 0 0 0 0
NA Brazoria "44 - L-S" 0 5 2 0 0 0
NA Brazoria "44 - L-S-APP" 0 3 2 0 0 0
NA Brazoria "44 - PISD" 0 1729 1063 10 35 8
NA Brazoria "44 - PISD-MUD3" 0 240 168 0 4 0
NA Brazoria "44 - PISD-PEAR" 0 28 10 0 0 0
NA Brazoria "45 - L-ALL" 0 0 0 0 0 0
NA Brazoria "45 - L-F" 0 2 2 0 0 0
